Filename,Width,Height,DPI Information
D:/Thesis/realism_data/orientalism\a terrace in morocco.jpg,2373,1590,"(299.9994, 299.9994)"
D:/Thesis/realism_data/orientalism\a turkish araba drawn by two white oxen.jpg,6558,4824,
D:/Thesis/realism_data/orientalism\a turkish girl.jpg,1582,1308,"(46.0, 46.0)"
D:/Thesis/realism_data/orientalism\a turkish hunting party with sultan ahmed iii.jpg,547,384,"(96, 96)"
D:/Thesis/realism_data/orientalism\a turkish janissary.jpg,645,792,"(72, 72)"
D:/Thesis/realism_data/orientalism\a turkish man on a grey horse.jpg,1131,842,
D:/Thesis/realism_data/orientalism\a turkish woman.jpg,707,848,"(72.0, 72.0)"
D:/Thesis/realism_data/orientalism\a view in cairo.jpg,563,741,"(72, 72)"
D:/Thesis/realism_data/orientalism\a view of cairo.jpg,796,1131,"(0, 0)"
D:/Thesis/realism_data/orientalism\a woman in a veil.jpg,927,1000,"(300, 300)"
D:/Thesis/realism_data/orientalism\a woman in turkish dress.jpg,2877,3619,
D:/Thesis/realism_data/orientalism\a young negro woman.jpg,505,650,"(96, 96)"
D:/Thesis/realism_data/orientalism\a young turkish woman.jpg,3776,6046,
D:/Thesis/realism_data/orientalism\abdel ghourem and nour el aïn slave of love and light of the eyes.jpg,676,793,
D:/Thesis/realism_data/orientalism\about the war.jpg,2024,1487,"(96, 96)"
D:/Thesis/realism_data/orientalism\afghan.jpg,636,1000,
D:/Thesis/realism_data/orientalism\african chief.jpg,1776,2250,
D:/Thesis/realism_data/orientalism\african pirates abducting a young woman.jpg,768,592,"(300, 300)"
D:/Thesis/realism_data/orientalism\after the bath.jpg,671,836,"(96, 96)"
D:/Thesis/realism_data/orientalism\after the simoom.jpg,1088,800,"(96, 96)"
D:/Thesis/realism_data/orientalism\afterglow in egypt.jpg,500,944,"(72, 72)"
D:/Thesis/realism_data/orientalism\albanian dancers.jpg,771,481,"(300, 300)"
D:/Thesis/realism_data/orientalism\albanian duel somewhere in south of albania during ottoman reign.jpg,768,584,"(300, 300)"
D:/Thesis/realism_data/orientalism\albanian warrior.jpg,1126,686,"(0, 0)"
D:/Thesis/realism_data/orientalism\algerian women.jpg,612,470,
"D:/Thesis/realism_data/orientalism\ali ben-hamet, caliph of constantine and chief of the haractas, followed by his escort.jpg",798,1009,"(300, 300)"
"D:/Thesis/realism_data/orientalism\along the ghats, mathura.jpg",1000,809,"(72, 72)"
D:/Thesis/realism_data/orientalism\along the nile.jpg,1000,594,"(600, 600)"
D:/Thesis/realism_data/orientalism\aman i mordecai.jpg,4325,2805,
D:/Thesis/realism_data/orientalism\ambassador regiment.jpg,1472,1080,"(304.8, 304.8)"
D:/Thesis/realism_data/orientalism\amehs playing chess in a café.jpg,1150,1119,"(0, 0)"
D:/Thesis/realism_data/orientalism\among the teachers.jpg,1000,544,
D:/Thesis/realism_data/orientalism\an albanian sailor.jpg,765,960,
D:/Thesis/realism_data/orientalism\an algerian lady hawking.jpg,570,698,"(0, 0)"
D:/Thesis/realism_data/orientalism\an algerian man and boy looking across bay of algiers.jpg,2327,3307,"(72, 72)"
"D:/Thesis/realism_data/orientalism\an ancient egyptian temple, on gebel garaba.jpg",800,581,"(300, 300)"
D:/Thesis/realism_data/orientalism\an arab and his dog.jpg,370,570,"(300, 300)"
"D:/Thesis/realism_data/orientalism\an arab caravan outside a fortified town, egypt.jpg",1140,752,"(0, 0)"
D:/Thesis/realism_data/orientalism\an arab caravan.jpg,800,534,"(300, 300)"
D:/Thesis/realism_data/orientalism\an arab dancer.jpg,280,600,"(96, 96)"
D:/Thesis/realism_data/orientalism\an arab horseman at the gallop.jpg,934,1123,
D:/Thesis/realism_data/orientalism\an arab horseman.jpg,800,514,"(600, 600)"
D:/Thesis/realism_data/orientalism\an arab man.jpg,1057,2000,"(180, 180)"
"D:/Thesis/realism_data/orientalism\an audience outside the kasbah gate, tangiers.jpg",480,352,
D:/Thesis/realism_data/orientalism\an indian gharry.jpg,1000,829,"(600, 600)"
D:/Thesis/realism_data/orientalism\an odalisque with a red fan.jpg,750,600,"(96, 96)"
D:/Thesis/realism_data/orientalism\an odalisque.jpg,391,316,
"D:/Thesis/realism_data/orientalism\an open air kitchen, lahore, india.jpg",882,756,"(350, 350)"
"D:/Thesis/realism_data/orientalism\an open air restaurant, lahore.jpg",2000,1322,"(400, 400)"
D:/Thesis/realism_data/orientalism\an oriental barbershop.jpg,1271,2088,"(300, 300)"
D:/Thesis/realism_data/orientalism\an oriental beauty.jpg,1070,2000,"(68, 68)"
D:/Thesis/realism_data/orientalism\an oriental farm.jpg,671,436,"(95.9866, 95.9866)"
D:/Thesis/realism_data/orientalism\ananuri.jpg,1000,560,
D:/Thesis/realism_data/orientalism\and there was.jpg,1000,831,
D:/Thesis/realism_data/orientalism\approach to mount sinai.jpg,800,594,"(300, 300)"
D:/Thesis/realism_data/orientalism\arab encampment.jpg,750,453,"(300, 300)"
D:/Thesis/realism_data/orientalism\arab fantasia.jpg,1156,850,"(300, 300)"
D:/Thesis/realism_data/orientalism\arab frightening larks away unfinished.jpg,2551,1590,"(72, 72)"
D:/Thesis/realism_data/orientalism\arab girl with waterpipe.jpg,599,956,"(300, 300)"
D:/Thesis/realism_data/orientalism\arab horseman attacked by lion.jpg,490,600,"(96, 96)"
D:/Thesis/realism_data/orientalism\arab horsemen on a bridge.jpg,594,470,
D:/Thesis/realism_data/orientalism\arab horses fighting in a stable.jpg,1095,850,"(300, 300)"
D:/Thesis/realism_data/orientalism\arab in front of a tapestry.jpg,951,1997,"(180, 180)"
D:/Thesis/realism_data/orientalism\arab on camel.jpg,753,1000,
D:/Thesis/realism_data/orientalism\arab school.jpg,3670,2251,"(150, 150)"
D:/Thesis/realism_data/orientalism\arab studies camp.jpg,512,768,
D:/Thesis/realism_data/orientalism\arab warrior.jpg,3022,4000,"(300, 300)"
D:/Thesis/realism_data/orientalism\arab watching over the body of his friend.jpg,4000,2297,
D:/Thesis/realism_data/orientalism\arab.jpg,470,800,"(300, 300)"
D:/Thesis/realism_data/orientalism\arabes assis.jpg,362,246,"(72, 72)"
D:/Thesis/realism_data/orientalism\arabian head.jpg,421,546,"(96, 96)"
D:/Thesis/realism_data/orientalism\arabian knight in tangier.jpg,504,800,"(72, 72)"
D:/Thesis/realism_data/orientalism\arabian nights.jpg,478,400,
D:/Thesis/realism_data/orientalism\arabic fantasy.jpg,1799,1343,"(300, 300)"
D:/Thesis/realism_data/orientalism\arabic madonna and child.jpg,800,1078,"(96, 96)"
D:/Thesis/realism_data/orientalism\arabs making their horses drink.jpg,481,600,"(300, 300)"
D:/Thesis/realism_data/orientalism\arabs of oran.jpg,640,549,
D:/Thesis/realism_data/orientalism\arabs on the move.jpg,750,494,"(96, 96)"
D:/Thesis/realism_data/orientalism\arabs skirmishing in the mountains.jpg,959,1200,"(300, 300)"
D:/Thesis/realism_data/orientalism\architecture and art of the great temple of karnak. city of thebes. egypt..jpg,486,720,"(0, 0)"
D:/Thesis/realism_data/orientalism\armenian company at the card game.jpg,5634,4238,"(300, 300)"
D:/Thesis/realism_data/orientalism\armenian wedding.jpg,2820,2155,"(300, 300)"
D:/Thesis/realism_data/orientalism\arms dealer in cairo.jpg,791,1000,"(300, 300)"
D:/Thesis/realism_data/orientalism\arnaut blowing smoke at the nose of his dog.jpg,693,570,"(300, 300)"
D:/Thesis/realism_data/orientalism\arnautm smoking.jpg,422,570,"(300, 300)"
D:/Thesis/realism_data/orientalism\arnauts of cairo at the gate of bab-el-nasr.jpg,386,570,"(300, 300)"
D:/Thesis/realism_data/orientalism\arrival of a caravan outside the city of morocco.jpg,1081,650,"(167, 167)"
"D:/Thesis/realism_data/orientalism\arrival of prince humbert, the rahaj, at the palace of amber.jpg",995,758,"(0, 0)"
"D:/Thesis/realism_data/orientalism\arrival of prince humbert, the rajah, at the palace of amber.jpg",1000,749,"(72, 72)"
"D:/Thesis/realism_data/orientalism\artillery barracks, tophana.jpg",1500,1161,"(100, 100)"
D:/Thesis/realism_data/orientalism\ascent to the summit of mount sinai.jpg,800,600,"(300, 300)"
D:/Thesis/realism_data/orientalism\ashdod.jpg,800,439,"(300, 300)"
D:/Thesis/realism_data/orientalism\askari.jpg,338,481,"(30, 30)"
D:/Thesis/realism_data/orientalism\at the door of a mosque.jpg,758,1000,
D:/Thesis/realism_data/orientalism\at the edge of the wadi.jpg,582,400,"(96, 96)"
"D:/Thesis/realism_data/orientalism\at the entrance to the temple mount, jerusalem.jpg",616,800,"(95.9866, 95.9866)"
D:/Thesis/realism_data/orientalism\at the gate of the seraglio.jpg,1638,2100,"(300, 300)"
D:/Thesis/realism_data/orientalism\at the genisaret lake.jpg,2279,1200,"(72, 72)"
D:/Thesis/realism_data/orientalism\at the oasis.jpg,600,392,
D:/Thesis/realism_data/orientalism\at the river crossing.jpg,1000,575,"(600, 600)"
D:/Thesis/realism_data/orientalism\audience at the sultan's court.jpg,4433,3624,"(75, 75)"
D:/Thesis/realism_data/orientalism\ayn mousa. the wells of moses.jpg,800,598,"(300, 300)"
"D:/Thesis/realism_data/orientalism\baalbec, from the fountain.jpg",776,585,"(96, 96)"
D:/Thesis/realism_data/orientalism\baker.jpg,2400,1523,"(299, 299)"
D:/Thesis/realism_data/orientalism\bashi-bazouk and his dog.jpg,382,570,"(240, 240)"
D:/Thesis/realism_data/orientalism\bather by moonlight.jpg,535,650,"(96, 96)"
D:/Thesis/realism_data/orientalism\bathers by the edge of a river.jpg,1128,743,"(0, 0)"
D:/Thesis/realism_data/orientalism\bathing women.jpg,2076,2400,"(72, 72)"
D:/Thesis/realism_data/orientalism\battle in the desert.jpg,600,378,"(97, 97)"
"D:/Thesis/realism_data/orientalism\battle of aboukir, july 25, 1799.jpg",1280,764,"(72, 72)"
D:/Thesis/realism_data/orientalism\battle of arab horsemen around a standard.jpg,2000,1621,
D:/Thesis/realism_data/orientalism\battle of the pyramids.jpg,1024,768,"(600, 600)"
D:/Thesis/realism_data/orientalism\bazaar in cairo.jpg,374,479,"(72, 72)"
D:/Thesis/realism_data/orientalism\bazaar in orleans.jpg,2394,2633,"(150, 150)"
D:/Thesis/realism_data/orientalism\bazaar.jpg,1500,1087,"(100, 100)"
D:/Thesis/realism_data/orientalism\before a mosque in cairo.jpg,892,1200,"(96, 96)"
D:/Thesis/realism_data/orientalism\before the great jami masjid mosque.jpg,2153,3200,"(300.0, 300.0)"
D:/Thesis/realism_data/orientalism\beggars in samarkand.jpg,754,1000,
D:/Thesis/realism_data/orientalism\berber and child.jpg,580,417,
D:/Thesis/realism_data/orientalism\bethlehem. shrine of the nativity.jpg,800,582,"(300, 300)"
D:/Thesis/realism_data/orientalism\bethlehem. the grotto of the nativity.jpg,800,591,"(300, 300)"
"D:/Thesis/realism_data/orientalism\birdhouse and market ahmedabad, india.jpg",591,881,"(350, 350)"
D:/Thesis/realism_data/orientalism\blacksmith shop at tangiers.jpg,1042,683,"(125, 125)"
D:/Thesis/realism_data/orientalism\blanchisseuses dans la seguia de biskra.jpg,2626,3658,"(72, 72)"
D:/Thesis/realism_data/orientalism\blowing from guns in british india.jpg,600,420,"(200, 200)"
"D:/Thesis/realism_data/orientalism\blue tiled mosque at delhi, india.jpg",820,1000,"(72, 72)"
D:/Thesis/realism_data/orientalism\bohemians on the march.jpg,1538,1024,"(350, 350)"
D:/Thesis/realism_data/orientalism\bonaparte visiting the plague victims of jaffa.jpg,2763,1972,"(300, 300)"
D:/Thesis/realism_data/orientalism\buddhist lama in a monastery on a holiday pemionchi. sikkim.jpg,630,1000,
D:/Thesis/realism_data/orientalism\buddhist prayer machine.jpg,745,1000,
D:/Thesis/realism_data/orientalism\bukhara soldiers sarbaz.jpg,730,1000,
D:/Thesis/realism_data/orientalism\bulgarian village.jpg,1054,714,"(72, 72)"
D:/Thesis/realism_data/orientalism\by the well.jpg,3000,1776,"(600, 600)"
D:/Thesis/realism_data/orientalism\camel in the courtyard of caravanserai.jpg,1000,691,
D:/Thesis/realism_data/orientalism\camels at damascus.jpg,589,300,"(96, 96)"
"D:/Thesis/realism_data/orientalism\cannon foundry, tophana.jpg",1500,1133,"(100, 100)"
"D:/Thesis/realism_data/orientalism\captive dove, kaïro.jpg",1000,1431,"(96, 96)"
D:/Thesis/realism_data/orientalism\child.jpg,376,500,"(96, 96)"
D:/Thesis/realism_data/orientalism\children at la berrada.jpg,781,640,"(96, 96)"
"D:/Thesis/realism_data/orientalism\children in la berrada now berrada, morocco.jpg",326,470,
D:/Thesis/realism_data/orientalism\china tent.jpg,1000,684,
D:/Thesis/realism_data/orientalism\chinese porcelain with fans.jpg,686,547,"(96, 96)"
D:/Thesis/realism_data/orientalism\chinese soldier.jpg,402,600,"(300, 300)"
D:/Thesis/realism_data/orientalism\chinese tent.jpg,1940,1315,"(300, 300)"
D:/Thesis/realism_data/orientalism\chinese.jpg,600,1000,
"D:/Thesis/realism_data/orientalism\chorus of dervishes, begging. tashkent.jpg",668,1000,
D:/Thesis/realism_data/orientalism\christ and the sinner.jpg,1000,529,
"D:/Thesis/realism_data/orientalism\church of the holy sepulchre, jerusalem.jpg",864,599,"(96, 96)"
D:/Thesis/realism_data/orientalism\cleopatra and caesar.jpg,911,1321,"(96, 96)"
D:/Thesis/realism_data/orientalism\cleopatra.jpg,324,495,"(96, 96)"
D:/Thesis/realism_data/orientalism\coffee in las golondrinas.jpg,727,1000,"(300, 300)"
D:/Thesis/realism_data/orientalism\combat between the giaour and the pasha.jpg,735,600,"(96, 96)"
D:/Thesis/realism_data/orientalism\composition with teapot.jpg,840,1154,
D:/Thesis/realism_data/orientalism\constantinople from the road to semlin.jpg,1500,994,"(100, 100)"
D:/Thesis/realism_data/orientalism\constantinople istanbul. eski sarayskiy garden..jpg,1000,695,
"D:/Thesis/realism_data/orientalism\constantinople, la mosquée yeni djami.jpg",1570,681,"(72.0, 72.0)"
D:/Thesis/realism_data/orientalism\constantinople.jpg,646,1000,
D:/Thesis/realism_data/orientalism\consummatum est jerusalem.jpg,750,406,"(240, 240)"
"D:/Thesis/realism_data/orientalism\convent of saint catherine, mount sinai.jpg",800,496,"(300, 300)"
D:/Thesis/realism_data/orientalism\coolie porter.jpg,577,1000,
D:/Thesis/realism_data/orientalism\cossacks raiding a turkish village.jpg,527,675,
D:/Thesis/realism_data/orientalism\count demetrius de palatiano in suliot costume.jpg,448,600,"(300, 300)"
D:/Thesis/realism_data/orientalism\cour de l'alhambra.jpg,794,1000,"(240.0, 240.0)"
D:/Thesis/realism_data/orientalism\courtyard in morocco.jpg,700,542,"(310, 310)"
D:/Thesis/realism_data/orientalism\courtyard in the painter's house in cairo.jpg,2024,1494,"(96, 96)"
"D:/Thesis/realism_data/orientalism\craftsman selling cases by a teak wood building, ahmedabad.jpg",726,1000,"(72, 72)"
D:/Thesis/realism_data/orientalism\croquis two arabian figures.jpg,4000,2707,
"D:/Thesis/realism_data/orientalism\curiously wrought red sandstone arches, fort agra, india.jpg",524,768,"(0, 0)"
"D:/Thesis/realism_data/orientalism\custom house, constantinople.jpg",1500,1145,"(100, 100)"
D:/Thesis/realism_data/orientalism\cypriot woman smoking a chibouk.jpg,441,618,"(2700, 2700)"
D:/Thesis/realism_data/orientalism\dancer and favorites.jpg,410,305,
D:/Thesis/realism_data/orientalism\dancers.jpg,411,530,"(96, 96)"
D:/Thesis/realism_data/orientalism\dancing dervishes.jpg,5912,4370,"(300, 300)"
D:/Thesis/realism_data/orientalism\danger in the desert.jpg,512,343,"(96, 96)"
D:/Thesis/realism_data/orientalism\dans le palais du sultan.jpg,1410,1898,"(1, 1)"
D:/Thesis/realism_data/orientalism\death of sardanapalus.jpg,3873,3045,"(96.0, 96.0)"
D:/Thesis/realism_data/orientalism\departure for the hunt.jpg,712,1000,"(72, 72)"
D:/Thesis/realism_data/orientalism\departure of the israelites.jpg,1865,1087,"(72, 72)"
D:/Thesis/realism_data/orientalism\dervish.jpg,5024,6270,"(300, 300)"
D:/Thesis/realism_data/orientalism\dervishes at the meal.jpg,5810,4374,"(300, 300)"
D:/Thesis/realism_data/orientalism\dervishes in holiday costumes. tashkent.jpg,1256,1932,"(96, 96)"
D:/Thesis/realism_data/orientalism\descent to the valley of the jordan.jpg,800,581,"(300, 300)"
D:/Thesis/realism_data/orientalism\deux sultanes faisant de la broderie.jpg,630,596,"(120, 120)"
D:/Thesis/realism_data/orientalism\dinner at the palace in honour of an ambassador.jpg,3554,2630,
D:/Thesis/realism_data/orientalism\distant view of nazareth.jpg,1200,837,"(72, 72)"
D:/Thesis/realism_data/orientalism\doors of timur tamerlane.jpg,1625,2048,"(300.0, 300.0)"
D:/Thesis/realism_data/orientalism\double portrait.jpg,472,600,"(72, 72)"
D:/Thesis/realism_data/orientalism\douvana begging dervishes.jpg,490,720,"(0, 0)"
D:/Thesis/realism_data/orientalism\dreams on the hill.jpg,1500,1653,"(72, 72)"
D:/Thesis/realism_data/orientalism\dutar-player.jpg,731,1000,
"D:/Thesis/realism_data/orientalism\early morning by lake urumiyah, persia.jpg",750,499,"(96, 96)"
D:/Thesis/realism_data/orientalism\eastern market.jpg,446,570,"(300, 300)"
"D:/Thesis/realism_data/orientalism\edfu, upper egypt.jpg",1144,438,"(72, 72)"
"D:/Thesis/realism_data/orientalism\egypt, caravan in the desert.jpg",500,294,"(95.9866, 95.9866)"
D:/Thesis/realism_data/orientalism\egyptian modesty.jpg,541,667,"(300, 300)"
D:/Thesis/realism_data/orientalism\egyptian recruits crossing the desert.jpg,1390,825,"(300, 300)"
D:/Thesis/realism_data/orientalism\egyptian water carrier.jpg,842,1029,"(0, 0)"
"D:/Thesis/realism_data/orientalism\el pek khan, silk mart, brussa.jpg",1135,1500,"(100, 100)"
D:/Thesis/realism_data/orientalism\elephants and a panther in the indian desert.jpg,3507,1991,"(300, 300)"
"D:/Thesis/realism_data/orientalism\elephants and figures in a courtyard, fort agra.jpg",1176,780,"(0, 0)"
D:/Thesis/realism_data/orientalism\elephants at the palace of jodhpore.jpg,2000,1603,"(0, 0)"
D:/Thesis/realism_data/orientalism\encampment of the oulad said.jpg,800,598,"(300, 300)"
D:/Thesis/realism_data/orientalism\entering the mosque.jpg,799,1000,"(72, 72)"
D:/Thesis/realism_data/orientalism\entry of the christ in jerusalem.jpg,2191,1422,"(72, 72)"
D:/Thesis/realism_data/orientalism\ephraim.jpg,2024,2582,"(96, 96)"
D:/Thesis/realism_data/orientalism\equestrian portrait of joachim murat.jpg,486,600,"(72, 72)"
D:/Thesis/realism_data/orientalism\equestrian portrait of the architect barthélemy-michel hazon in the costume of a turkish mufti.jpg,1559,2048,"(96, 96)"
D:/Thesis/realism_data/orientalism\eunuch at the door of the harem.jpg,492,1000,
D:/Thesis/realism_data/orientalism\evening prayer in tangiers.jpg,350,616,"(96, 96)"
D:/Thesis/realism_data/orientalism\execution of a jewess in morocco.jpg,767,1024,"(300, 300)"
D:/Thesis/realism_data/orientalism\exit of the turkish school.jpg,2167,1555,"(300, 300)"
"D:/Thesis/realism_data/orientalism\exterior of the great mosque, brussa.jpg",1500,1120,"(100, 100)"
D:/Thesis/realism_data/orientalism\fanatics of tangier.jpg,1178,880,"(300, 300)"
D:/Thesis/realism_data/orientalism\favorite of the emir.jpg,1280,810,"(300, 300)"
"D:/Thesis/realism_data/orientalism\feeding the sacred pigeons, jaipur.jpg",1000,818,"(72, 72)"
D:/Thesis/realism_data/orientalism\festival at fatehpur sikri.jpg,1000,817,"(72, 72)"
D:/Thesis/realism_data/orientalism\festival of the aissawah.jpg,700,459,"(96, 96)"
D:/Thesis/realism_data/orientalism\fight around a sou.jpg,570,499,"(96, 96)"
D:/Thesis/realism_data/orientalism\figures in the courtyard of a mosque.jpg,1131,821,"(0, 0)"
D:/Thesis/realism_data/orientalism\flower girl in cairo.jpg,409,610,
D:/Thesis/realism_data/orientalism\food given at the palace in honor of the ambassador.jpg,1460,1080,"(304.8, 304.8)"
"D:/Thesis/realism_data/orientalism\forecourt of the ummayad mosque, damascus.jpg",424,550,"(72, 72)"
D:/Thesis/realism_data/orientalism\fortress of aqaba.jpg,800,593,"(300, 300)"
D:/Thesis/realism_data/orientalism\fortune teller.jpg,1506,2356,"(72, 72)"
D:/Thesis/realism_data/orientalism\fountain of the gate of eski old serai.jpg,1500,1067,"(100, 100)"
D:/Thesis/realism_data/orientalism\fountain of the virgin mary in nazareth.jpg,1000,687,
"D:/Thesis/realism_data/orientalism\fountain of the virgin, nazareth.jpg",825,592,"(96, 96)"
"D:/Thesis/realism_data/orientalism\french ambassador le vicomte de andrezel received by sultan ahmed iii on october 10, 1724, audience with the sultan.jpg",690,524,
D:/Thesis/realism_data/orientalism\funeral in palestrina.jpg,2363,2754,
D:/Thesis/realism_data/orientalism\game keeper and boy ferreting a rabbit.jpg,3826,5362,
D:/Thesis/realism_data/orientalism\gate near the qutub minar. old delhi.jpg,762,1000,
"D:/Thesis/realism_data/orientalism\gate of shehal, morocco.jpg",1060,592,"(125, 125)"
"D:/Thesis/realism_data/orientalism\gate of the fortress at agra, india.jpg",786,1000,"(72, 72)"
D:/Thesis/realism_data/orientalism\gate of the mosque of saint sophia.jpg,1500,1133,"(100, 100)"
D:/Thesis/realism_data/orientalism\general bonaparte with his military staff in egypt.jpg,2472,3432,"(300, 300)"
D:/Thesis/realism_data/orientalism\general view of suez.jpg,800,412,"(300, 300)"
D:/Thesis/realism_data/orientalism\german colony sarona near jaffa.jpg,2469,999,"(72, 72)"
D:/Thesis/realism_data/orientalism\girl in a moorish courtyard.jpg,1131,815,"(0, 0)"
D:/Thesis/realism_data/orientalism\girl veiling herself.jpg,430,570,"(96, 96)"
D:/Thesis/realism_data/orientalism\granada courtyard.jpg,1000,776,"(0, 0)"
"D:/Thesis/realism_data/orientalism\great burial ground, pera.jpg",1500,1131,"(100, 100)"
"D:/Thesis/realism_data/orientalism\great mogul and his court returning from the great mosque at delhi, india.jpg",1000,613,"(72, 72)"
D:/Thesis/realism_data/orientalism\great pyramids of cheops and chephren.jpg,1000,690,
D:/Thesis/realism_data/orientalism\greek clergyman.jpg,1991,2500,"(72, 72)"
D:/Thesis/realism_data/orientalism\greek lying on a rock.jpg,1000,791,
D:/Thesis/realism_data/orientalism\greek men and women dance the khorra.jpg,2832,2120,"(300, 300)"
D:/Thesis/realism_data/orientalism\greek morning in myraca.jpg,1000,768,
D:/Thesis/realism_data/orientalism\greek wedding.jpg,7170,4356,"(300, 300)"
D:/Thesis/realism_data/orientalism\guard corps in orient.jpg,3891,2602,"(72, 72)"
D:/Thesis/realism_data/orientalism\guarding the chieftain.jpg,817,1000,"(600, 600)"
D:/Thesis/realism_data/orientalism\gur emir mausoleum. samarkand.jpg,707,1000,
D:/Thesis/realism_data/orientalism\half-figure of a bather.jpg,743,887,"(96, 96)"
D:/Thesis/realism_data/orientalism\haouisha moresque tanger.jpg,525,700,"(96, 96)"
D:/Thesis/realism_data/orientalism\haram ash-sharif - the square where the ancient temple of jerusalem was situated.jpg,1000,637,
D:/Thesis/realism_data/orientalism\harbour in constantinople.jpg,1000,782,
"D:/Thesis/realism_data/orientalism\hareem life, constantinople.jpg",935,1207,"(200, 200)"
D:/Thesis/realism_data/orientalism\harem girl.jpg,865,1000,"(72, 72)"
D:/Thesis/realism_data/orientalism\harem scene with the sultan.jpg,392,460,
D:/Thesis/realism_data/orientalism\harem.jpg,1576,2064,"(72, 72)"
D:/Thesis/realism_data/orientalism\hassan et namouna.jpg,500,369,"(96, 96)"
